p1,p5,p10,p20
9.234801,9.174700,9.256159,9.162567
13.158098,13.094020,12.932288,12.949082
17.895825,17.645595,17.568914,17.380705
26.854259,26.396914,26.280875,21.748428
42.457839,41.047278,33.892598,24.743081
