p-1,p1,p5,p10,p20
68.561424,73.259833,75.754500,78.097641,80.478367
69.874645,74.539112,76.242664,78.659605,81.002984
71.165955,74.701125,76.909258,79.316742,81.651774
71.973524,75.202166,77.658153,80.050032,82.372476
73.099288,76.260926,78.710031,81.084554,83.355648
