p-1,p1,p5,p10,p20
4.000000,65.000000,67.000000,62.100000,75.000000
4.000000,57.000000,61.000000,65.000000,75.000000
4.000000,58.000000,61.000000,66.000000,76.000000
3.000000,1242.000000,15929.400000,40762.300000,89427.200000
3.000000,264808.000000,300917.800000,354050.000000,451280.400000
