p-1,p1,p5,p10,p20
92.713146,95.388874,97.765364,97.755809,97.085762
93.138994,95.881987,98.217476,97.529837,97.595798
93.715288,96.405911,98.605737,97.871246,89.107949
94.076656,96.974763,98.332560,97.724598,85.696322
94.712508,97.650065,97.866937,97.394839,86.344975
