p-1,p1,p5,p10,p20
5.924735,12.474636,12.687053,13.309571,13.813907
7.178734,31.768078,33.563592,35.520423,39.689870
7.727756,54.762780,57.889808,62.113578,69.907756
8.808959,96.542334,96.555744,97.296981,97.036707
12.711315,97.846317,99.063813,98.437546,98.475650
