p-1,p1,p5,p10,p20
6.172226,7.174733,7.259402,7.290266,7.434419
6.661340,7.633311,8.259967,8.154689,8.039508
7.575728,8.841484,8.891190,18.460225,9.066710
9.624763,10.682095,10.613623,10.551250,10.087542
13.500708,10.883485,10.763681,10.434079,9.976569
