p1,p5,p10,p20
7.499272,7.630891,7.601921,7.603212
8.272345,8.214253,8.240195,8.127003
9.033578,8.970769,8.985321,8.881667
10.614479,10.575710,10.544606,10.337098
13.432844,13.406284,13.108886,13.556069
