p1,p5,p10,p20
7.811367,7.690930,7.760033,7.944381
9.116590,9.000492,8.991705,9.231056
10.693312,10.612677,10.840615,11.028131
13.812603,13.671175,13.998952,13.768617
19.710304,19.512030,19.875502,21.069332
