p-1,p1,p5,p10,p20
3.370370,53.977778,59.462963,60.048148,70.033333
3.263704,51.603704,55.137778,59.599259,68.517778
3.104444,51.140000,54.671852,59.090000,67.791481
2.999630,152.838519,10832.908148,25240.405926,55178.161852
2.927685,160786.032963,181681.811759,213959.511574,267406.687963
