p1,p5,p10,p20
7.324776,7.342364,7.330897,7.333782
8.265506,8.227516,8.256699,8.270575
9.408825,9.349713,9.396561,9.397918
11.744842,11.719620,11.700063,11.712862
15.314830,16.287981,15.078131,15.129469
