p-1,p1,p5,p10,p20
3.414815,53.377778,56.303704,60.611111,68.248148
3.251852,51.877037,55.594815,59.931852,68.150370
3.082222,51.462593,54.888889,59.368148,67.715926
3.021296,239.739444,8697.331852,24897.308704,55521.622778
2.936296,162020.853611,182429.664722,212376.788889,267425.023241
