p-1,p1,p5,p10,p20
3.425926,5.459259,9.400000,14.459259,24.559259
3.326667,5.320000,9.268889,14.234815,24.259259
3.140741,5.085926,9.093333,14.068889,24.071481
3.075370,5.011296,9.023148,13.998148,24.012407
2.915648,4.886944,8.933519,13.920556,23.963426
