p-1,p1,p5,p10,p20
7.684533,8.002392,7.830066,7.249667,6.376667
9.092623,9.150000,8.961078,8.224066,7.672426
10.704516,10.734887,10.553601,8.936990,9.236117
13.928822,13.914508,13.403758,12.012571,12.417134
19.681030,19.852818,19.371975,18.404785,18.290215
