p1,p5,p10,p20
28.179988,28.075555,28.091654,28.114890
28.209523,28.204178,28.188982,28.140655
28.266034,28.215818,28.177069,28.221723
28.275678,28.210057,28.221196,28.168213
28.293093,28.189950,28.226489,28.208793
