p1,p5,p10,p20
11.206506,11.342089,11.365506,11.299241
12.580915,12.518082,12.519211,12.532830
13.402539,13.291073,13.469623,13.648527
14.795656,15.371931,15.196355,15.580062
17.666718,18.135015,18.454693,19.086086
