v,g1,g2,g3,g4,g5,mean,std
4,72930.940228,221745.142028,150476.079291,25524.489851,166043.575218,127344.045323,69673.983023
5,571541.924389,304787.721813,482502.293371,394153.968886,1334726.411414,617542.463975,369438.130210
6,424865.226056,544807.010949,684301.803781,563501.621445,592990.838119,562093.300070,83692.197599
