p-1,p1,p5,p10,p20
7.272824,6.224917,6.065067,6.100764,6.196007
8.051836,6.666820,6.836656,6.841967,6.676393
7.989355,7.851677,7.679452,7.557903,7.585049
9.490253,9.305949,9.254606,8.902740,8.785805
12.834387,9.647227,9.359969,9.069419,8.800868
