p-1,p1,p5,p10,p20
83.391262,85.205482,87.448433,89.693455,91.976319
83.772721,85.643082,87.884852,90.069082,98.578984
84.299903,86.166194,88.387323,90.662258,92.910550
84.980728,86.858576,89.032364,91.376243,93.663683
85.845920,88.309902,90.626321,92.893612,95.335856
