p1,p5,p10,p20
17.094300,17.144040,17.759764,18.563579
18.898812,20.829109,87.007162,27.149801
20.495081,24.223929,84.570942,37.245000
24.226571,32.552524,40.441624,58.106399
32.407647,46.994845,63.161335,94.347028
