p1,p5,p10,p20
24.402065,24.264718,24.468606,24.586915
24.530488,24.616126,24.621202,24.581360
24.548685,24.669577,24.675873,24.684218
24.761205,24.759467,24.852149,24.909709
24.842391,24.889178,24.860344,24.943529
