p1,p5,p10,p20
8.056120,8.035461,8.000633,8.056634
9.351574,9.360721,9.332171,9.298586
11.009676,10.963463,10.947087,10.843399
14.064140,13.884606,13.912271,13.607138
20.014527,19.549586,18.876308,12.724641
