p1,p5,p10,p20
6.908658,7.605526,8.353311,10.347219
10.354721,13.988656,18.559408,46.825822
13.863172,21.509516,30.027871,48.109804
21.608466,35.542744,52.380473,84.563824
33.141154,59.325341,89.057710,72.852730
