p1,p5,p10,p20
11.893366,11.522649,11.303675,11.507649
12.151107,12.275342,12.373595,12.302418
13.394984,13.331667,13.053055,13.552692
15.580694,15.630603,15.304304,15.149811
18.541596,18.448882,18.492394,18.447212
