p1,p5,p10,p20
5.948925,7.004868,7.537342,9.267715
7.818117,11.327980,16.227857,25.219577
9.725865,16.912588,25.981827,43.740128
13.279180,27.659811,44.493249,79.381798
21.240991,46.975663,80.020302,96.341952
