p1,p5,p10,p20
13.431391,14.991683,12.234801,13.443179
15.525016,17.566906,17.361558,21.821851
16.088489,18.438365,23.098301,31.604167
19.055363,24.315759,33.175283,50.725804
23.720428,35.929367,52.809578,83.725740
