p1,p5,p10,p20
12.827143,12.227134,13.010228,13.897166
13.864595,16.016710,17.251456,22.417955
15.022645,19.286238,23.316977,32.653441
17.255385,24.993590,33.802628,51.864566
22.607233,37.317327,55.019338,87.524259
