p-1,p1,p5,p10,p20
5.732904,11.244834,11.148212,11.713630,11.934570
6.672573,30.673094,32.140228,34.018762,38.015635
7.353987,53.605064,56.698494,60.689359,68.157532
9.125768,95.744623,98.069602,97.628455,96.862676
11.959356,97.573165,97.580383,97.686328,97.970124
