p-1,p1,p5,p10,p20
4.000000,59.000000,60.000000,64.100000,71.000000
4.000000,57.000000,61.000000,66.000000,73.000000
4.000000,56.000000,60.100000,64.000000,74.000000
3.000000,993.100000,11733.100000,38627.300000,87628.100000
3.000000,263720.200000,297023.800000,348041.700000,437796.600000
