p-1,p1,p5,p10,p20
7.731262,7.758040,7.727600,7.707375,7.716711
9.045377,9.059671,9.002000,9.005148,8.990951
10.669839,10.679164,10.630482,10.676559,10.589646
13.877778,13.927079,13.962277,15.526958,15.394254
19.821169,18.874118,17.978788,17.472394,15.933474
