p1,p5,p10,p20
9.006775,10.804430,11.928664,14.361569
19.360519,27.065258,33.162468,45.552913
29.293689,45.015209,57.760129,81.391194
47.102875,79.012917,96.975655,97.823514
76.827129,97.209939,98.271075,98.926667
