p-1,p1,p5,p10,p20
19.043076,19.098661,19.129433,19.123009,19.417898
19.079209,19.153849,19.165455,19.206988,19.572003
19.205430,19.389003,19.395956,20.078649,19.711177
19.519619,19.631560,19.672794,19.893687,20.004923
20.056603,20.594249,20.690188,20.901959,20.864278
