p-1,p1,p5,p10,p20
7.633079,8.848907,9.223079,9.306766,9.462781
8.220552,9.738534,9.937443,9.944593,10.038599
8.963429,10.696677,10.694038,10.851693,10.730929
10.568233,11.881136,12.123690,12.746260,12.616587
14.410765,14.117318,14.762940,13.460505,12.942647
